Nombre	Vacunas exijidas	Vacunas recomendadas	,,,,
RUMAN&#xCD;A	Fiebre Amarilla (2013): ningún requisito de vacunación para los viajeros internacionales.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
RUANDA (Rwanda)	Se exige certificado de vacunación contra la Fiebre Amarilla (2015) a todos los viajeros mayores de un año de edad. Recomendaciones de vacunación contra la fiebre amarilla: en general NO.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
REP&#xDA;BLICA DOMINICANA	Ningún requisito de vacunación para los viajeros internacionales. Recomendaciones de vacunación contra la fiebre amarilla: No.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
REINO UNIDO	Fiebre Amarilla (2015): ningún requisito de vacunación para los viajeros internacionales.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
OM&#xC1;N	Se exige certificado de vacunación contra la Fiebre Amarilla (2015) a los viajeros mayores de 9 meses procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No. El certificado de vacunación es válido de por vida.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
POLINESIA FRANCESA	Se exige certificado de vacunación contra la Fiebre Amarilla (2013) a los viajeros mayores de un año procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
PANAM&#xC1;	Fiebre Amarilla (2015): ningún requisito de vacunación para los viajeros internacionales. Recomendaciones de vacunación contra la fiebre amarilla: Sí. Recomendada para todos los viajeros a partir de 9 meses de edad que vayan a la  región del Este del Canal de Panamá (la totalidad de las comarcas de Emberá y Kuna Yala, la provincia de Darién y áreas de las provincias de Colón). No se recomienda ((La vacunación contra la fiebre amarilla está generalmente no recomendada en áreas donde el riesgo de exposición es bajo. Sin embargo, la vacunación debe considerarse en aquel pequeño subgrupo de viajeros que tiene un riesgo de exposición aumentado (por Ej.: viaje de larga duración, amplia exposición a mosquitos, imposibilidad de evitar la picadura de mosquito). Cuando se considere la vacunación cualquier viajero debe tener en cuenta el riesgo de infectarse con el virus de la fiebre amarilla, los requisitos de entrada de cada país y  los factores de riesgo individual para desarrollar un efecto adverso grave a la vacuna (Ej.: edad, estado inmune).) para viajeros cuyo itinerario se limite a áreas del oeste de la zona del canal, la ciudad de  Panamá, la zona del canal en sí, y las Islas de Balboa y San Blas.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
PAP&#xDA;A - NUEVA GUINEA	Recomendaciones de vacunación contra la fiebre amarilla (2015): No.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
POLONIA	Fiebre Amarilla (2013): ningún requisito de vacunación para los viajeros internacionales.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
MOZAMBIQUE	Se exige certificado de vacunación contra la Fiebre Amarilla (2015) a los viajeros mayores de un año procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan transitado por aeropuertos con riesgo de transmisión de la fiebre amarilla (con la excepción de Sudán del Sur y con la adición de Santo Tomé y Príncipe, Somalia, Rep.Unida de Tanzania en África; con la excepción de Argentina, Guayana Francesa y Paraguay en Sudamérica) . Recomendaciones de vacunación contra la fiebre amarilla: No.
El certificado de vacunación frente a la fiebre amarilla es válido para 10 años.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
REUNI&#xD3;N	Se exige certificado de vacunación contra la Fiebre Amarilla (2013) a los viajeros mayores de un año procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
NEPAL	Se exige certificado de vacunación contra la Fiebre Amarilla (2015) a los viajeros de más de 1 año de edad procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan transitado por una aeropuerto de un país con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No. El certificado de vacunación es válido para 10 años.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
SAN CRIST&#xD3;BAL Y NIEVES	Se exige certificado de vacunación contra la Fiebre Amarilla (2015) a los viajeros  mayores de un año de edad procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: ninguna.
El certificado de vacunación de fiebre amarilla es válido para toda la vida.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
SERBIA (Rep&#xFA;blica de Serbia)	Ningún requisito de vacunación para los viajeros internacionales.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
SEYCHELLES	Se exige certificado de vacunación contra la fiebre amarilla (2015) a los viajeros mayores de un año de edad procedentes de países con riesgo de transmisión de fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No. El certificado de vacunación de fiebre amarilla es válido para 10 años.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
SANTA LUC&#xCD;A	Se exige certificado de vacunación contra la Fiebre Amarilla a los viajeros  mayores de un año procedentes de países con riesgo de transmisión de la fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
SAN PEDRO Y MIQUEL&#xD3;N	Fiebre Amarilla (2013): ningún requisito de vacunación para los viajeros internacionales.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
RUSIA	Recomendaciones de vacunación contra la fiebre amarilla: ninguna. FIEBRE AMARILLA: Requisitos del país: ninguno.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
SAN MARTIN	Se exige certificado de vacunación contra la fiebre amarilla a los viajeros mayores de seis meses de edad procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
SAN VICENTE Y LAS GRANADINAS	Se exige certificado de vacunación contra la Fiebre Amarilla a los viajeros  mayores de un año de edad procedentes de países con riesgo de transmisión de la fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: ninguna.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
SAN MARINO	Ningún requisito de vacunación para los viajeros internacionales.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
SAMOA AMERICANA	FIEBRE AMARILLA: Requisitos del país: ninguno. Recomendaciones de vacunación contra la fiebre amarilla: ninguna.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
SIERRA LEONA	Se exige certificado de vacunación contra la Fiebre Amarilla a todos los viajeros. Recomendaciones de vacunación contra la fiebre amarilla: Sí.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
SANTO TOM&#xC9; Y PR&#xCD;NCIPE	Se exige certificado de vacunación contra la Fiebre Amarilla (2015) a los viajeros mayores de un año procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No. El certificado de vacunación de fiebre amarilla es válido para toda la vida.
Generalmente no recomendada ((La vacunación contra la fiebre amarilla está generalmente no recomendada en áreas donde el riesgo de exposición es bajo. Sin embargo, la vacunación debe considerarse en aquel pequeño subgrupo de viajeros que tiene un riesgo de exposición aumentado (por Ej.: viaje de larga duración, amplia exposición a mosquitos, imposibilidad de evitar la picadura de mosquito). Cuando se considere la vacunación cualquier viajero debe tener en cuenta el riesgo de infectarse con el virus de la fiebre amarilla, los requisitos de entrada de cada país y  los factores de riesgo individual para desarrollar un efecto adverso grave a la vacuna (Ej.: edad, estado inmune).) a viajeros con destino a Santo Tomé y Príncipe.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
CANAD&#xC1;	Ningún requisito de vacunación para los viajeros internacionales.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
SENEGAL	Se exige certificado de vacunación contra la Fiebre Amarilla a los viajeros mayores de 9 meses de edad procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: Sí.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
CHINA	Se exige certificado de vacunación contra la Fiebre Amarilla a los viajeros de más de 9 meses de edad procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Este requisito no se aplica a aquellos viajeros cuyos itinerarios se limitan a la región administrativa especial de Hong-Kong y Macao. Recomendaciones de vacunación contra la fiebre amarilla: No.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
SAN BARTOLOM&#xC9;	Requisitos del país: certificado de vacunación frente a la fiebre amarilla para todos aquellos viajeros de más de 1 año de edad procedentes de países con riesgo de transmisión de fiebre amarilla y para viajeros que hayan transitado durante más de 12 horas por un aeropuerto de un país con riesgo de transmisión de fiebre amarilla.
Recomendaciones de vacunación frente a la fiebre amarilla: No.	,,
SANTA ELENA (Santa Helena)	Fiebre Amarilla (2015): recomendaciones de vacunación contra la fiebre amarilla: ninguna.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
SAMOA	Se exige certificado de vacunación contra la Fiebre Amarilla (2013) a los viajeros mayores de un año procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
TOGO	Se exige certificado de vacunación contra la Fiebre Amarilla (2015) a todos los viajeros mayores de 9 meses de edad. Recomendaciones de vacunación contra la fiebre amarilla: Sí.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
T&#xDA;NEZ	Fiebre Amarilla (2015): recomendaciones de vacunación contra la fiebre amarilla: ninguna.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
SOMALIA	Se exige certificado de vacunación contra la Fiebre Amarilla (2015) a los viajeros mayores de 9 meses procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan transitado más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: en general NO. Generalmente no recomendada ( (La vacunación contra la fiebre amarilla está generalmente no recomendada en áreas donde el riesgo de exposición es bajo. Sin embargo, la vacunación debe considerarse en aquel pequeño subgrupo de viajeros que tiene un riesgo de exposición aumentado (por Ej.: viaje de larga duración, amplia exposición a mosquitos, imposibilidad de evitar la picadura de mosquito). Cuando se considere la vacunación cualquier viajero debe tener en cuenta el riesgo de infectarse con el virus de la fiebre amarilla, los requisitos de entrada de cada país y  los factores de riesgo individual para desarrollar un efecto adverso grave a la vacuna (Ej.: edad, estado inmune).) para viajeros que se dirijan a las siguientes regiones: Bakool, Banaadir, Bay, Gado, Galgadud, Hiran, Lower Juba, Middle Juba, Lower Shabelle and Middle Shabelle. No recomendada en el resto de áreas no mencionadas anteriormente. El certificado de vacunación de fiebre amarilla es válido para 10 años.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
TRINIDAD Y TOBAGO	Se exige certificado de vacunación contra la Fiebre Amarilla (2015) a los viajeros mayores de un año procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: Sí. Se recomienda a los viajeros a partir de 9 meses de edad que incluyan una visita a Trinidad excepto los mencionados a continuación. Generalmente no recomendada ((La vacunación contra la fiebre amarilla está generalmente no recomendada en áreas donde el riesgo de exposición es bajo. Sin embargo, la vacunación debe considerarse en aquel pequeño subgrupo de viajeros que tiene un riesgo de exposición aumentado (por Ej.: viaje de larga duración, amplia exposición a mosquitos, imposibilidad de evitar la picadura de mosquito). Cuando se considere la vacunación cualquier viajero debe tener en cuenta el riesgo de infectarse con el virus de la fiebre amarilla, los requisitos de entrada de cada país y  los factores de riesgo individual para desarrollar un efecto adverso grave a la vacuna (Ej.: edad, estado inmune).) para viajeros cuyo itinerario se limita a las áreas urbanas del puerto de España, pasajeros de crucero que no desembarquen y pasajeros en tránsito aéreo. No recomendada a viajeros cuyo itinerario se limite a la isla de Tobago.
El certificado de vacunación de fiebre amarilla es válido para 10 años.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
SUD&#xC1;N DEL SUR	FIEBRE AMARILLA: Requisitos del país: ninguno. Recomendaciones de vacunación contra la fiebre amarilla: Sí.	Existe riesgo de paludismo -predominantemente por P. falciparum- durante todo el año y en todo el país.
Prevención recomendada:  C  .	,
TURKMENIST&#xC1;N	Ningún requisito de vacunación para los viajeros internacionales.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
TOKELAU	Los mismos requisitos que Nueva Zelanda.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
SINGAPUR	Fiebre Amarilla (2013): se exige certificado de vacunación a todos los viajeros mayores de un año que han visitado o han pasado, en los 6 días anteriores, por cualquier país con riesgo de transmisión de la fiebre amarilla o hayan realizado tránsitos de más de 12 horas en aeropuertos con países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No.	Se exige certificado de vacunación a los viajeros mayores de un año que han visitado o han pasado, en los 6 días anteriores, por cualquier país con riesgo de transmisión de la fiebre amarilla.	,
SURINAM	Se exige certificado de vacunación contra la Fiebre Amarilla (2015) a los viajeros mayores de 1 año de edad procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan transitado más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: Sí. El certificado de vacunación de fiebre amarilla es válido para toda la vida.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
TIMOR ORIENTAL (Timor Leste)	Se exige certificado de vacunación contra la Fiebre Amarilla (2015) a los viajeros mayores de un año de edad procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan transitado en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
TAILANDIA	Se exige certificado de vacunación contra la Fiebre Amarilla (2015) a los viajeros mayores de 9 meses de edad procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No.
El certificado de vacunación de fiebre amarilla es válido para 10 años.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
SUECIA	Fiebre Amarilla (2015): ningún requisito de vacunación para los viajeros internacionales.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
SIRIA, Rep&#xFA;blica &#xC1;rabe	Fiebre Amarilla (2015): ningún requisito de vacunación para los viajeros internacionales. Recomendaciones de vacunación contra la fiebre amarilla: No.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
SRI LANKA	Se exige certificado de vacunación contra la Fiebre Amarilla a los viajeros mayores de 9 meses procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
TADYIKIST&#xC1;N (Tayikist&#xE1;n)	Fiebre Amarilla (2015): ningún requisito de vacunación para los viajeros internacionales. Recomendaciones de vacunación contra la fiebre amarilla: No.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
TANZANIA, Rep&#xFA;blica Unida	Se exige certificado de vacunación contra la fiebre amarilla (2015) a los viajeros mayores de 1 año de edad procedentes de países con riesgo de transmisión de la fiebre amarilla, y para aquellos viajeros que hayan transitado más de 12 horas por un aeropuerto de un país con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: en general NO. Generalmente no recomendada (La vacunación contra la fiebre amarilla está generalmente no recomendada en áreas donde el riesgo de exposición es bajo. Sin embargo, la vacunación debe considerarse en aquel pequeño subgrupo de viajeros que tiene un riesgo de exposición aumentado (por Ej.: viaje de larga duración, amplia exposición a mosquitos, imposibilidad de evitar la picadura de mosquito). Cuando se considere la vacunación cualquier viajero debe tener en cuenta el riesgo de infectarse con el virus de la fiebre amarilla, los requisitos de entrada de cada país y  los factores de riesgo individual para desarrollar un efecto adverso grave a la vacuna (Ej.: edad, estado inmune).) para viajeros que se dirijan a la República Unida de Tanzania. El certificado de vacunación frente a la fiebre amarilla es válido para toda la vida.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
SUD&#xC1;N	Se exige certificado de vacunación contra la Fiebre Amarilla (2015) a los viajeros mayores de 1 año de edad procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan transitado más de 12 horas con aeropuertos de países con riesgo de transmisión de fiebre amarilla. Puede exigirse un certificado a los viajeros que dejen Sudán. Recomendaciones de vacunación contra la fiebre amarilla: Sí. Se recomienda a todos los viajeros mayores de 9 meses que viajen a zonas del sur del desierto del Sahara. No se recomienda a viajeros cuyo itinerario se limite a áreas en el desierto del Sahara y en la ciudad de Khartum. El certificado de vacunación de fiebre amarilla es válido para toda la vida.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
SWAZILANDIA	Se exige certificado de vacunación contra la Fiebre Amarilla a los viajeros procedentes de países con riesgo de transmisión de la fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
SUIZA	Fiebre Amarilla (2013): ningún requisito de vacunación para los viajeros internacionales.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
TONGA	FIEBRE AMARILLA: Requisitos del país: ninguno. Recomendaciones de vacunación contra la fiebre amarilla: ninguna.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
SUD&#xC1;FRICA, Rep&#xFA;blica	Se exige certificado de vacunación contra la Fiebre Amarilla (2015) a los viajeros mayores de un año de edad procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No.
El certificado de vacunación de fiebre amarilla es válido para toda la vida.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
YEMEN	Fiebre Amarilla: recomendaciones de vacunación contra la fiebre amarilla: No.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
TUVALU	Ningún requisito de vacunación para los viajeros internacionales.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
TURQU&#xCD;A	Fiebre Amarilla (2015): ningún requisito de vacunación para los viajeros internacionales. Recomendaciones de vacunación contra la fiebre amarilla: No.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
ZAMBIA	Se exige certificado de vacunación contra la fiebre amarilla (2015) a los viajeros mayores de 9 meses de edad procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No. Generalmente no recomendada ((La vacunación contra la fiebre amarilla está generalmente no recomendada en áreas donde el riesgo de exposición es bajo. Sin embargo, la vacunación debe considerarse en aquel pequeño subgrupo de viajeros que tiene un riesgo de exposición aumentado (por Ej.: viaje de larga duración, amplia exposición a mosquitos, imposibilidad de evitar la picadura de mosquito). Cuando se considere la vacunación cualquier viajero debe tener en cuenta el riesgo de infectarse con el virus de la fiebre amarilla, los requisitos de entrada de cada país y  los factores de riesgo individual para desarrollar un efecto adverso grave a la vacuna (Ej.: edad, estado inmune).) para viajeros cuyo itinerario se limita a las áreas siguientes: las provincias del oeste y del noroeste en su totalidad.
No recomendada en el resto de áreas no mencionadas anteriormente.
El certificado de vacunación frente a la fiebre amarilla es válido para toda la vida.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
UGANDA	Se exige certificado de vacunación contra la Fiebre Amarilla a los viajeros mayores de un año de edad procedentes de países con riesgo de transmisión de la fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: Sí.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
